Altium Designer Pick and Place Locations
C:\Users\mak22\OneDrive\Ðàáî÷èé ñòîë\Ðàáîòû\7 ñåìåñòð\ÌÏÑ\MPS_Course_Work\Ñõåìà\J2534 Adapter\Project Outputs for J2534 Adapter\Pick Place for Main_Board.csv

========================================================================================================================
File Design Information:

Date:       18.11.22
Time:       15:10
Revision:   daf35ab0dbf0db5f77861cdef3c473ac734d6812
Variant:    No variations
Units used: mm

"""Designator"",""Comment"",""Layer"",""Footprint"",""Center-X(mm)"",""Center-Y(mm)"",""Rotation"",""Description"",""Part Number"",""PartNumber"""
"""J3"",""TYPE-C-31-M-12"",""TopLayer"",""TYPE-C-31-M-12"",""20.5000"",""4.5750"",""0"",""5A 1 16 Female Type-C SMD USB Connectors ROHS"",""TYPE-C-31-M-12"","""""
"""J2"",""2.54 8x1"",""TopLayer"",""PLS-8X1"",""20.5000"",""43.9000"",""90"","""","""","""""
"""R12"",""0"",""TopLayer"",""0603_SMD_Res"",""12.2500"",""25.0000"",""0"",""Thick Film Resistors -55?~+155? 0? 0603 Chip Resistor"",""FRC0603P000 TS"","""""
"""R11"",""0"",""TopLayer"",""0603_SMD_Res"",""12.2500"",""27.0000"",""180"",""Thick Film Resistors -55?~+155? 0? 0603 Chip Resistor"",""FRC0603P000 TS"","""""
"""X2"",""8MHz"",""TopLayer"",""3225_SMD_Crystal"",""8.8500"",""22.9000"",""90"",""Crystal 8MHz 10pf 250Ohm"",""TAXM8M4RDBCCT2T"","""""
"""X1"",""32.768MHz"",""TopLayer"",""3215_SMD_CRYSTAL"",""8.5000"",""27.7500"",""90"",""32.768kHz 6pF 70k? ±20ppm -40?~+85? SMD3215-2P Crystals ROHS"",""NX3215SA-32.768K-STD-MUA-14"","""""
"""U5"",""STM32F105RBT6"",""TopLayer"",""STM-LQFP64_V"",""20.7500"",""23.2500"",""0"",""ARM Cortex-M3 32-bit MCU, 128 KB Flash, 64 KB Internal RAM, 51 I/Os, 64-pin LQFP, -40 to 85 degC, Tray"","""",""STM32F105RBT6"""
"""U4"",""XC6206P332MR"",""BottomLayer"",""SOT23-3"",""33.9000"",""24.9000"",""180"",""40dB@(1kHz) 100mA 240mV@(50mA) Fixed 3.3V~3.3V Positive 1 8V SOT-23 Linear Voltage Regulators"",""XC6206P332MR"","""""
"""U3"",""TPS563201"",""BottomLayer"",""SOT23-6L"",""25.6500"",""37.0000"",""180"",""Step-down type -40?~+125?@(TJ) 1 Step-down Adjustable 0.768V~7V 3A 4.5V~17V 580kHz SOT-23-THIN-6"",""TPS563201DDCR"","""""
"""U2"",""USBLC6-2"",""TopLayer"",""SOT23-6L"",""20.5000"",""11.3500"",""90"","""",""USBLC6-2SC6"","""""
"""U1B"",""TJA1050"",""TopLayer"",""SOIC-8"",""15.8650"",""37.3100"",""90"",""TJA1050 CAN Transeiver up to 1 Mbaud/s"",""TJA1057T/1Z"","""""
"""U1A"",""TJA1050"",""TopLayer"",""SOIC-8"",""25.1350"",""37.3100"",""90"",""TJA1050 CAN Transeiver up to 1 Mbaud/s"",""TJA1057T/1Z"","""""
"""S1"",""SPST Switch"",""TopLayer"",""B3U-1000P"",""8.5000"",""15.7000"",""270"","""",""B3U-1000P"","""""
"""R16"",""10k"",""BottomLayer"",""0603_SMD_Res"",""23.0500"",""20.0000"",""180"",""Resistor 10k 0603 1%"",""RC0603FR-0710KL"","""""
"""R15"",""10k"",""BottomLayer"",""0603_SMD_Res"",""18.7500"",""26.4000"",""180"",""Resistor 10k 0603 1%"",""RC0603FR-0710KL"","""""
"""R14"",""698"",""TopLayer"",""0603_SMD_Res"",""31.1500"",""12.2000"",""180"",""100mW Thick Film Resistors 75V ±100ppm/? ±1% -55?~+155? 698? 0603 Chip Resistor"",""AC0603FR-07698RL"","""""
"""R13"",""698"",""TopLayer"",""0603_SMD_Res"",""31.1500"",""10.7000"",""180"",""100mW Thick Film Resistors 75V ±100ppm/? ±1% -55?~+155? 698? 0603 Chip Resistor"",""AC0603FR-07698RL"","""""
"""R10"",""82k"",""TopLayer"",""0603_SMD_Res"",""29.7500"",""21.5000"",""180"",""100mW Thick Film Resistors 50V ±100ppm/? ±1% -55?~+155? 82k? 0603 Chip Resistor"",""FRC0603F8202TS"","""""
"""R9"",""33k"",""TopLayer"",""0603_SMD_Res"",""29.7500"",""20.0000"",""0"",""100mW Thin Film Resistor 75V ±25ppm/? ±1% -55?~+155? 33k? 0603 Chip Resistor"",""ARG03FTC3302"","""""
"""R8"",""2.49k"",""BottomLayer"",""0603_SMD_Res"",""18.7500"",""23.0000"",""180"",""Resistor 2.49k 0603 1%"",""RC0603FR-072K49L"","""""
"""R7"",""10k"",""BottomLayer"",""0603_SMD_Res"",""18.7500"",""24.5000"",""0"",""Resistor 10k 0603 1%"",""RC0603FR-0710KL"","""""
"""R6"",""698"",""TopLayer"",""0603_SMD_Res"",""8.4500"",""11.8000"",""180"",""100mW Thick Film Resistors 75V ±100ppm/? ±1% -55?~+155? 698? 0603 Chip Resistor"",""AC0603FR-07698RL"","""""
"""R5"",""54.9k"",""BottomLayer"",""0603_SMD_Res"",""21.8500"",""38.0000"",""0"",""100mW Thick Film Resistors 75V ±100ppm/? ±1% -55?~+155? 54.9k? 0603"",""RC0603FR-0754K9L"","""""
"""R4"",""10k"",""BottomLayer"",""0603_SMD_Res"",""21.8500"",""36.5000"",""0"",""Resistor 10k 0603 1%"",""RC0603FR-0710KL"","""""
"""R3"",""10k"",""BottomLayer"",""0603_SMD_Res"",""26.3500"",""34.4000"",""0"",""Resistor 10k 0603 1%"",""RC0603FR-0710KL"","""""
"""R2"",""5.1k"",""TopLayer"",""0603_SMD_Res"",""27.6500"",""9.2000"",""180"",""Resistor 5.1k 0603 1%"",""RC0603FR-075K1L"","""""
"""R1"",""5.1k"",""TopLayer"",""0603_SMD_Res"",""16.7500"",""9.2000"",""0"",""Resistor 5.1k 0603 1%"",""RC0603FR-075K1L"","""""
